vdvT,fc
0.00,0.5000
0.01,0.5115
0.02,0.5215
0.03,0.5315
0.04,0.5415
0.05,0.5515
0.06,0.5614
0.07,0.5712
0.08,0.5810
0.09,0.5908
0.10,0.6004
0.11,0.6100
0.12,0.6196
0.13,0.6290
0.14,0.6384
0.15,0.6476
0.16,0.6567
0.17,0.6658
0.18,0.6747
0.19,0.6835
0.20,0.6922
0.21,0.7007
0.22,0.7092
0.23,0.7174
0.24,0.7256
0.25,0.7336
0.26,0.7415
0.27,0.7492
0.28,0.7568
0.29,0.7642
0.30,0.7715
0.31,0.7786
0.32,0.7856
0.33,0.7924
0.34,0.7991
0.35,0.8056
0.36,0.8119
0.37,0.8181
0.38,0.8242
0.39,0.8301
0.40,0.8359
0.41,0.8415
0.42,0.8469
0.43,0.8522
0.44,0.8574
0.45,0.8624
0.46,0.8673
0.47,0.8721
0.48,0.8767
0.49,0.8811
0.50,0.8855
0.51,0.8897
0.52,0.8938
0.53,0.8977
0.54,0.9015
0.55,0.9052
0.56,0.9088
0.57,0.9123
0.58,0.9157
0.59,0.9189
0.60,0.9221
0.61,0.9251
0.62,0.9280
0.63,0.9309
0.64,0.9336
0.65,0.9363
0.66,0.9388
0.67,0.9413
0.68,0.9437
0.69,0.9459
0.70,0.9481
0.71,0.9503
0.72,0.9523
0.73,0.9543
0.74,0.9562
0.75,0.9580
0.76,0.9598
0.77,0.9615
0.78,0.9631
0.79,0.9647
0.80,0.9662
0.81,0.9677
0.82,0.9691
0.83,0.9704
0.84,0.9717
0.85,0.9729
0.86,0.9741
0.87,0.9753
0.88,0.9763
0.89,0.9774
0.90,0.9784
0.91,0.9794
0.92,0.9803
0.93,0.9812
0.94,0.9821
0.95,0.9829
0.96,0.9837
0.97,0.9844
0.98,0.9851
0.99,0.9858
1.00,0.9865
1.01,0.9871
1.02,0.9877
1.03,0.9883
1.04,0.9889
1.05,0.9894
1.06,0.9899
1.07,0.9904
1.08,0.9909
1.09,0.9913
1.10,0.9917
1.11,0.9921
1.12,0.9925
1.13,0.9929
1.14,0.9932
1.15,0.9936
1.16,0.9939
1.17,0.9942
1.18,0.9945
1.19,0.9948
1.20,0.9951
1.21,0.9953
1.22,0.9956
1.23,0.9958
1.24,0.9960
1.25,0.9962
1.26,0.9964
1.27,0.9966
1.28,0.9968
1.29,0.9970
1.30,0.9971
1.31,0.9973
1.32,0.9974
1.33,0.9976
1.34,0.9977
1.35,0.9978
1.36,0.9980
1.37,0.9981
1.38,0.9982
1.39,0.9983
1.40,0.9984
1.41,0.9985
1.42,0.9986
1.43,0.9987
1.44,0.9988
1.45,0.9988
1.46,0.9989
1.47,0.9990
1.48,0.9990
1.49,0.9991
1.50,0.9992
